Ticker;BTC-USD
30.06.2022;19784.72656
1.07.2022;19269.36719
2.07.2022;19242.25586
3.07.2022;19297.07617
4.07.2022;20231.26172
5.07.2022;20190.11523
6.07.2022;20548.24609
7.07.2022;21637.58789
8.07.2022;21731.11719
9.07.2022;21592.20703
10.07.2022;20860.44922
11.07.2022;19970.55664
12.07.2022;19323.91406
13.07.2022;20212.07422
14.07.2022;20569.91992
15.07.2022;20836.32813
16.07.2022;21190.31641
17.07.2022;20779.34375
18.07.2022;22485.68945
19.07.2022;23389.43359
20.07.2022;23231.73242
21.07.2022;23164.62891
22.07.2022;22714.97852
23.07.2022;22465.47852
24.07.2022;22609.16406
25.07.2022;21361.70117
26.07.2022;21239.75391
27.07.2022;22930.54883
28.07.2022;23843.88672
29.07.2022;23804.63281
30.07.2022;23656.20703
31.07.2022;23336.89648
1.08.2022;23314.19922
2.08.2022;22978.11719
3.08.2022;22846.50781
4.08.2022;22630.95703
5.08.2022;23289.31445
6.08.2022;22961.2793
7.08.2022;23175.89063
8.08.2022;23809.48633
9.08.2022;23164.31836
10.08.2022;23947.64258
11.08.2022;23957.5293
12.08.2022;24402.81836
13.08.2022;24424.06836
14.08.2022;24319.33398
15.08.2022;24136.97266
16.08.2022;23883.29102
17.08.2022;23335.99805
18.08.2022;23212.73828
19.08.2022;20877.55273
20.08.2022;21166.06055
21.08.2022;21534.12109
22.08.2022;21398.9082
23.08.2022;21528.08789
24.08.2022;21395.01953
25.08.2022;21600.9043
26.08.2022;20260.01953
27.08.2022;20041.73828
28.08.2022;19616.81445
29.08.2022;20297.99414
30.08.2022;19796.80859
31.08.2022;20049.76367
1.09.2022;20127.14063
2.09.2022;19969.77148
3.09.2022;19832.08789
4.09.2022;19986.71289
5.09.2022;19812.37109
6.09.2022;18837.66797
7.09.2022;19290.32422
8.09.2022;19329.83398
9.09.2022;21381.15234
10.09.2022;21680.53906
11.09.2022;21769.25586
12.09.2022;22370.44922
13.09.2022;20296.70703
14.09.2022;20241.08984
15.09.2022;19701.21094
16.09.2022;19772.58398
17.09.2022;20127.57617
18.09.2022;19419.50586
19.09.2022;19544.12891
20.09.2022;18890.78906
21.09.2022;18547.40039
22.09.2022;19413.55078
23.09.2022;19297.63867
24.09.2022;18937.01172
25.09.2022;18802.09766
26.09.2022;19222.67188
27.09.2022;19110.54688
28.09.2022;19426.7207
29.09.2022;19573.05078
30.09.2022;19431.78906
1.10.2022;19312.0957
2.10.2022;19044.10742
3.10.2022;19623.58008
4.10.2022;20336.84375
5.10.2022;20160.7168
6.10.2022;19955.44336
7.10.2022;19546.84961
8.10.2022;19416.56836
9.10.2022;19446.42578
10.10.2022;19141.48438
11.10.2022;19051.41797
12.10.2022;19157.44531
13.10.2022;19382.9043
14.10.2022;19185.65625
15.10.2022;19067.63477
16.10.2022;19268.09375
17.10.2022;19550.75781
18.10.2022;19334.41602
19.10.2022;19139.53516
20.10.2022;19053.74023
21.10.2022;19172.46875
22.10.2022;19208.18945
23.10.2022;19567.00781
24.10.2022;19345.57227
25.10.2022;20095.85742
26.10.2022;20770.44141
27.10.2022;20285.83594
28.10.2022;20595.35156
29.10.2022;20818.47656
30.10.2022;20635.60352
31.10.2022;20495.77344
1.11.2022;20485.27344
2.11.2022;20159.50391
3.11.2022;20209.98828
4.11.2022;21147.23047
5.11.2022;21282.69141
6.11.2022;20926.48633
7.11.2022;20602.81641
8.11.2022;18541.27148
9.11.2022;15880.78027
10.11.2022;17586.77148
11.11.2022;17034.29297
12.11.2022;16799.18555
13.11.2022;16353.36523
14.11.2022;16618.19922
15.11.2022;16884.61328
16.11.2022;16669.43945
17.11.2022;16687.51758
18.11.2022;16697.77734
19.11.2022;16711.54688
20.11.2022;16291.83203
21.11.2022;15787.28418
22.11.2022;16189.76953
23.11.2022;16610.70703
24.11.2022;16604.46484
25.11.2022;16521.8418
26.11.2022;16464.28125
27.11.2022;16444.62695
28.11.2022;16217.32227
29.11.2022;16444.98242
30.11.2022;17168.56641
1.12.2022;16967.13281
2.12.2022;17088.66016
3.12.2022;16908.23633
4.12.2022;17130.48633
5.12.2022;16974.82617
6.12.2022;17089.50391
7.12.2022;16848.12695
8.12.2022;17233.47461
9.12.2022;17133.15234
10.12.2022;17128.72461
11.12.2022;17104.19336
12.12.2022;17206.4375
13.12.2022;17781.31836
14.12.2022;17815.65039
15.12.2022;17364.86523
16.12.2022;16647.48438
17.12.2022;16795.0918
18.12.2022;16757.97656
19.12.2022;16439.67969
20.12.2022;16906.30469
21.12.2022;16817.53516
22.12.2022;16830.3418
23.12.2022;16796.95313
24.12.2022;16847.75586
25.12.2022;16841.98633
26.12.2022;16919.80469
27.12.2022;16717.17383
28.12.2022;16552.57227
29.12.2022;16642.3418
30.12.2022;16602.58594
31.12.2022;16547.49609
1.01.2023;16625.08008
2.01.2023;16688.4707
3.01.2023;16679.85742
4.01.2023;16863.23828
5.01.2023;16836.73633
6.01.2023;16951.96875
7.01.2023;16955.07813
8.01.2023;17091.14453
9.01.2023;17196.55469
10.01.2023;17446.29297
11.01.2023;17934.89648
12.01.2023;18869.58789
13.01.2023;19909.57422
14.01.2023;20976.29883
15.01.2023;20880.79883
16.01.2023;21169.63281
17.01.2023;21161.51953
18.01.2023;20688.78125
19.01.2023;21086.79297
20.01.2023;22676.55273
21.01.2023;22777.625
22.01.2023;22720.41602
23.01.2023;22934.43164
24.01.2023;22636.46875
25.01.2023;23117.85938
26.01.2023;23032.77734
27.01.2023;23078.72852
28.01.2023;23031.08984
29.01.2023;23774.56641
30.01.2023;22840.13867
31.01.2023;23139.2832
1.02.2023;23723.76953
2.02.2023;23471.87109
3.02.2023;23449.32227
4.02.2023;23331.84766
5.02.2023;22955.66602
6.02.2023;22760.10938
7.02.2023;23264.29102
8.02.2023;22939.39844
9.02.2023;21819.03906
10.02.2023;21651.18359
11.02.2023;21870.875
12.02.2023;21788.20313
13.02.2023;21808.10156
14.02.2023;22220.80469
15.02.2023;24307.8418
16.02.2023;23623.47461
17.02.2023;24565.60156
18.02.2023;24641.27734
19.02.2023;24327.64258
20.02.2023;24829.14844
21.02.2023;24436.35352
22.02.2023;24188.84375
23.02.2023;23947.49219
24.02.2023;23198.12695
25.02.2023;23175.375
26.02.2023;23561.21289
27.02.2023;23522.87109
28.02.2023;23147.35352
1.03.2023;23646.55078
2.03.2023;23475.4668
3.03.2023;22362.67969
4.03.2023;22353.34961
5.03.2023;22435.51367
6.03.2023;22429.75781
7.03.2023;22219.76953
8.03.2023;21718.08008
9.03.2023;20363.02148
10.03.2023;20187.24414
11.03.2023;20632.41016
12.03.2023;22163.94922
13.03.2023;24197.5332
14.03.2023;24746.07422
15.03.2023;24375.96094
16.03.2023;25052.78906
17.03.2023;27423.92969
18.03.2023;26965.87891
19.03.2023;28038.67578
20.03.2023;27767.23633
21.03.2023;28175.81641
22.03.2023;27307.4375
23.03.2023;28333.97266
24.03.2023;27493.28516
25.03.2023;27494.70703
26.03.2023;27994.33008
27.03.2023;27139.88867
28.03.2023;27268.13086
29.03.2023;28348.44141
30.03.2023;28033.5625
31.03.2023;28478.48438
1.04.2023;28411.03516
2.04.2023;28199.30859
3.04.2023;27790.2207
4.04.2023;28168.08984
5.04.2023;28177.98438
6.04.2023;28044.14063
7.04.2023;27925.85938
8.04.2023;27947.79492
9.04.2023;28333.05078
10.04.2023;29652.98047
11.04.2023;30235.05859
12.04.2023;30139.05273
13.04.2023;30399.06641
14.04.2023;30485.69922
15.04.2023;30318.49609
16.04.2023;30315.35547
17.04.2023;29445.04492
18.04.2023;30397.55273
19.04.2023;28822.67969
20.04.2023;28245.98828
21.04.2023;27276.91016
22.04.2023;27817.5
23.04.2023;27591.38477
24.04.2023;27525.33984
25.04.2023;28307.59766
26.04.2023;28422.70117
27.04.2023;29473.78711
28.04.2023;29340.26172
29.04.2023;29248.48828
30.04.2023;29268.80664
1.05.2023;28091.56836
2.05.2023;28680.53711
3.05.2023;29006.30859
4.05.2023;28847.71094
5.05.2023;29534.38477
6.05.2023;28904.62305
7.05.2023;28454.97852
8.05.2023;27694.27344
9.05.2023;27658.77539
10.05.2023;27621.75586
11.05.2023;27000.78906
12.05.2023;26804.99023
13.05.2023;26784.07813
14.05.2023;26930.63867
15.05.2023;27192.69336
16.05.2023;27036.65039
17.05.2023;27398.80273
18.05.2023;26832.20898
19.05.2023;26890.12891
20.05.2023;27129.58594
21.05.2023;26753.82617
22.05.2023;26851.27734
23.05.2023;27225.72656
24.05.2023;26334.81836
25.05.2023;26476.20703
26.05.2023;26719.29102
27.05.2023;26868.35352
28.05.2023;28085.64648
29.05.2023;27745.88477
30.05.2023;27702.34961
31.05.2023;27219.6582
1.06.2023;26819.97266
2.06.2023;27249.58984
3.06.2023;27075.12891
4.06.2023;27119.06641
5.06.2023;25760.09766
6.06.2023;27238.7832
7.06.2023;26345.99805
8.06.2023;26508.2168
9.06.2023;26480.375
10.06.2023;25851.24023
11.06.2023;25940.16797
12.06.2023;25902.5
13.06.2023;25918.72852
14.06.2023;25124.67578
15.06.2023;25576.39453
16.06.2023;26327.46289
17.06.2023;26510.67578
18.06.2023;26336.21289
19.06.2023;26851.0293
20.06.2023;28327.48828
21.06.2023;30027.29688
22.06.2023;29912.28125
23.06.2023;30695.46875
24.06.2023;30548.69531
25.06.2023;30480.26172
26.06.2023;30271.13086
